rgiid	v0	a0	flag	tauv	tv_err	dv	dv_err	tauA	ta_err	da	da_err
15.06385	2.399011	16.78	0	36.101949536134576	0.036687547329706645	0.10296065238887295	0.000014895164231540934	35.65580062479879	0.04210357639512992	0.5795730952259442	0.00009675127786548359
15.06387	0.277245	3.89	0	19.428329908752048	0.043014766968548696	0.008583975593491815	1.931275264375e-6	19.32475374903871	0.04664014574965879	0.1004582062386401	0.000024568151509813694
15.06398	0.899667	7.49	0	25.310302458214654	0.04031470523096149	0.033239532530596264	6.199227734737683e-6	25.450535326680654	0.03163530506452354	0.2245652036605217	0.000032781806463981916
15.06457	0.365505	3.58	0	39.005167435123944	0.03367357569082692	0.024895260181036463	3.1959446225512034e-6	38.53907380793452	0.0365099780658079	0.1983336993525026	0.00002775031324745271
15.06462	0.90892	9.96	0	30.611629083051845	0.04110703947965913	0.03773574154257449	6.582148573235544e-6	29.544566917714416	0.0346728120028314	0.3392555438588762	0.000050717063483462684
15.06465	0.354715	3.82	0	55.62125913998469	0.038790441719576005	0.03159234295094797	4.027782522144227e-6	55.73489224211678	0.02582368214640026	0.27384230027895046	0.00002322329196102941
15.06472	1.44069	14.68	0	41.85074944568752	0.041065794182517414	0.0707517303717258	0.000010745631134102088	43.91483462740579	0.09197696457690242	0.5492184422239057	0.0001830330487244504
15.06491	0.253805	3.07	0	43.048548501758106	0.04032827990126114	0.040366438250569965	5.948564874400514e-6	43.1742660129494	0.04486660383269138	0.3927586063898219	0.00006431198450600778
15.06504	0.314628	3.29	0	96.06215033221812	0.18819243290146082	0.08373686159544654	0.000042537373169021884	100.99512324057585	0.1295379752108426	0.6984964142419077	0.00024045599427881194
15.06515	0.967448	8.16	0	43.84779025635904	0.03373126466284425	0.0712644745917363	8.715503178913067e-6	42.37551998200324	0.07582781434409644	0.49578147701831127	0.00013829907139417373
15.06535	0.773601	8.84	0	60.28487297000423	0.06421093647093504	0.10145532898964099	0.000020741071138656967	58.745855494341335	0.11230641302332306	0.9490872893446446	0.0003428118567506971
15.06538	1.774745	18.16	0	10.958887078658908	0.05036782734719094	0.01330132968694005	4.6039729879113505e-6	10.5456748776601	0.03237668900000545	0.1197916117128883	0.000027152558638498884
15.06539	0.551593	6.74	0	16.53146064908095	0.04432352782316961	0.0070968903422699466	1.7754388195850531e-6	16.601027962304887	0.050745951594885486	0.07277260335698446	0.000020802162051439662
15.06546	0.867688	10.32	0	20.43151830019301	0.0488186629771008	0.021050974491222785	5.2500019673433005e-6	21.657795093240658	0.07756116195911096	0.18813937713430526	0.00007254745794650634
15.06551	0.704846	7.46	0	38.549985099384585	0.04404064646297358	0.07219995961688137	0.000012184200045039228	38.24734373898222	0.049233168806302664	0.6158380098305292	0.0001165786613320204
15.06552	0.765245	7.18	0	50.94848646008781	0.07194168246917156	0.082992092075099	0.000020333342937002465	49.35621715906709	0.11740659099355619	0.6374584363425493	0.0002582313992754986
15.06554	0.566978	5.57	0	122.04958709871279	0.26833065451759924	0.1419836135322558	0.0000957432244459787	130.07201453734328	0.2215395688192969	1.117197066183948	0.0006108708952497657
15.06555	0.900022	8.13	0	25.271238791588566	0.04532711030297663	0.026870232961860804	5.638407940429677e-6	26.69913685789487	0.07548870951252498	0.1841524917509313	0.00006275686292235711
15.06556	2.212956	11.33	0	93.12508194638465	0.10308166480063316	0.19216514483469302	0.000054000695811139356	96.19349842212542	0.1438472546378889	0.7694346113842276	0.0002986330538987153
15.06557	0.904681	8.03	0	56.969769834339594	0.03221582920629334	0.06809724774501141	7.1418789239343214e-6	56.59184497235202	0.05060703052212611	0.4853962718360803	0.0000801806907873729
15.06558	5.978338	38.7	0	32.46042004597529	0.04166090565347513	0.14859946282892328	0.000025588356713689555	34.13496320954022	0.06687888727458771	0.7291677176536027	0.00019710767992889576
15.06559	2.442578	15.81	0	37.503017561200735	0.039216005001243004	0.07422234690587111	0.00001128788840126423	37.61527357839282	0.02770320990044036	0.3799776766410059	0.00004076959054874251
15.06560	0.507555	4.47	0	74.60341435577197	0.0841807131950237	0.08200682698683974	0.00002029207151913132	76.03695934506092	0.09725001833483568	0.5780282086127482	0.00016411653621485327
15.06561	2.247671	13.52	0	53.732065524682795	0.07819675214320197	0.1727197456281301	0.0000450113780569574	54.16023330083701	0.09353317854055548	0.8292311301943275	0.00025765708502543017
15.06562	1.41602	8.26	0	56.74438770859573	0.03637470216552649	0.10366546679601484	0.00001229507332848522	56.63131149728937	0.054479502881066365	0.4846372807127577	0.00008615728628546817
15.06563	6.091682	39.45	0	34.25809303329613	0.0323185951386639	0.184206253694263	0.000024024343375346636	32.31520988116172	0.06912701621176083	1.0074500742508081	0.00028842737651646607
15.06564	2.17806	16.21	0	38.721765776044734	0.035697367096230566	0.11850781673213129	0.00001617896769268944	39.0528683119625	0.05006292227240457	0.7054618082201851	0.00013457143478670764
15.06574	4.643611	37.31	0	26.247532125040415	0.037854872517801175	0.1365754490588974	0.000023522338685616776	25.61259090822706	0.07113913589899783	0.9221605570144812	0.0003018350540991257
15.06576	0.398466	4.6	0	64.25971142704475	0.08278021598336412	0.07046712058666102	0.000018120378374109716	66.05633596071229	0.06321144908105102	0.6464491789571182	0.00012561530396221608
15.06579	0.461954	4.22	0	52.25619823734033	0.04805491644906299	0.04246263790834616	6.8776671313320536e-6	53.30587573731345	0.06404234112832682	0.307381878475242	0.00006581662536622072
15.06595	0.895683	8.18	0	24.466337783468983	0.040239341495479364	0.03063113849467126	5.791653588253327e-6	25.929155910779674	0.10299358218768526	0.2212086989602625	0.00010423731759788988
15.06597	1.342168	10.36	0	41.089056356097686	0.03801124731370441	0.09485577289551887	0.000013440386866942964	41.51184945926176	0.0552174807151158	0.5801321045062231	0.0001188861099534858
15.06598	0.308153	3.89	0	42.25928745389657	0.156414247259229	0.03938609864090944	0.000022689729591546052	41.22926455074155	0.14957636945139421	0.41695264621688516	0.00023214012125570484
15.06606	1.295898	13.24	0	39.710511461658406	0.036551251454716265	0.056641780183039864	7.831814437507454e-6	39.977182929338255	0.048614755045492855	0.4593684743575738	0.00008423579823235642
15.06607	3.547547	24.42	0	45.5584342024205	0.03977478961862623	0.1963320822143948	0.00002785887302150815	47.683308605034576	0.07811445777964093	1.0501804861175346	0.0002871253586654635
15.06609	0.392338	5.15	0	15.509104351875328	0.04935736924806702	0.010779734166671766	3.0954599095096296e-6	15.772023644039836	0.05175902306083041	0.11595611025194068	0.00003463972224832985
15.06611	1.760696	12.98	0	96.42753444401384	0.15072622615460493	0.21122648926291604	0.00008583592708511523	95.54044088522573	0.20125281456178062	1.2520649412678653	0.0006813468621867924
15.06618	0.323322	3.89	0	32.35436641734949	0.03803945530893743	0.020084258226386254	3.1624272348583937e-6	33.196069370421625	0.043218718174845926	0.1896902094515124	0.00003354896748723777
